,pais,comentario,longitud,entropia
199,India,Be a group r folder of pics it's good update there should be another update required is send or forward the same group of pics So no need to select all photos again to send some one else.,187,3.9757399170186556
200,United States,I am reluctant to spend time writing reviews. However this is hands down the most useful navigation app going.\nGet it?\nGot it.\nGood👍,135,4.264958269039761
201,Hong Kong,direct,6,2.584962500721156
202,United Kingdom,That app never let me down. Easy to use. You will not be disappointed,69,4.07959646043375
203,Canada,All my likes are gone!!�,24,3.772055208874201
204,Hong Kong,Not bad~ keep improving~ less weird than before~ �,50,4.193269689515108
205,Australia,So many improvements over time that are appreciated. Thoughtful dev work. Well done!,84,4.299914155752578
206,Hong Kong,post     ？,10,2.1609640474436813
207,Canada,"Depuis une quinzaine de jours le Scrabble va mal. Je ne peux pas jouer avec mes amis Facebook, sauf deux. J'ai tout essayé...je suis très déçue car je jouais très très souvent.\nPouvez-vous faire quelque chose? Merci!",217,4.489829330127623
208,Singapore,Can update to new version of follower and following to lastest follower/following at the top of the list for easy find,118,3.893194946592289
209,India,Sending photos in DM have become near to impossible as the photos automatically changes and the last sent photo replaces the most recently sent photo automatically and photo selection is also not working properly...and notification sound is something that is common with almost everyone on this version of the app.,314,4.092689627542104
210,Singapore,Hate the new algorithm,22,3.6292196865240967
211,Australia,"I love the new update but the problem is that there is a tiny bug. Every time i either follow or unfollow someone, the app freezes for about 2 seconds. This is very minor but it is very annoying if I'm either following or unfollowing a lot of people at the same time. Please fix this.",284,4.205338313222022
212,India,Add music share option to iphone version,40,3.837326145256008
213,United States,Facebook likes to suppress the freedom of speech also called the first amendment!!!!,84,4.057862512473772
214,United States,🐼❤️❤️❤️❤️🐽�,11,2.004886164091843
215,Australia,"Very good so many ideas, I like crochet, gardening & lots more",62,4.057379813182925
216,Canada,Love,4,2.0
217,Canada,Takes up space,14,3.09306920777189
218,Singapore,"After the latest update the ads appear more frequently, and that's really annoying.",83,4.034181606730297
219,Hong Kong,Story ！,7,2.8073549220576046
220,Singapore,Whats app contact list is gone and it's not back yet even aft few updates. Pls do something about it! It's really not CONVENIENT AT ALL �,137,4.514266491826564
221,Canada,I can track everything so easily!! Very impressed.,50,4.175337750470313
222,Canada,"The Apple Watch version of the app doesn't work at all, just says request timed out anytime I try to access my feed.",116,4.251246918405826
223,Canada,I've been driving the same route home from work for five years not doing it was a better way faster way to get home thanks to this app,134,3.9992490344745915
224,India,"After the add of grouping feature of images sent by a person, it's difficult to delete such grouped photos while deleting other single photos in a group chat. Please provide a feature to delete grouped photos",208,4.087898870829487
225,India,Amaze,5,2.321928094887362
226,Canada,I received my Blaze yesterday and I have to admit that it is much better than I was expecting. I find it's accuracy quite surprising and love the option of being able to calculate my water and food Intake through the Fitbit app. I have yet to tryout some of the challenges ....,277,4.262361017504196
227,India,Needs to pause music while playing video on instagram .,55,4.122116423230453
228,Hong Kong,... / ...,9,1.224394445405986
229,Canada,You can find all kinds of great ideas for all kinds of stuff.,61,3.8300985590806307
230,Singapore,"Hope to have full scale option even when we upload multiple photos, currently it doesn't even apply on all same orientation photos. \nThank you.",144,4.157123633984538
231,Australia,Drafts sometimes just disappear...,34,3.811460547566394
232,India,Please reduce the size of the app,33,3.6758711054575395
233,United Kingdom,Takes up too much memory.. it's so annoying cause it's always like u need 100mb to use the app.. like I wanna talk to my friends!! They need to sort out how much memory they use it pisses me off..�,197,4.276013475600618
234,Hong Kong,Very lag,8,3.0
235,United Kingdom,"Bought a week ago but only set up 2 days ago, so not yet had much experience. Struggled a little setting up. Seems ok when using but still getting used to. Find it a bit fiddly attaching the battery charger but that's just inexperience. Need to get to grasps with it, have the Alta HR model including making the battery last. Do find it interesting however to track steps. Would rate as good not yet convinced it's excellent but this rating could change with more familiarity",475,4.288662222936017
236,India,It's the best app I've used by far and my favourite too ❤️,58,4.0692119268197375
237,Canada,Better now A little bit,23,3.2903216092483056
238,Australia,Good for ideas over the extra bits got back to basic,52,3.789704209750876
239,India,Great,5,2.321928094887362
240,Canada,It's a really good app for instalikes none of them work but this one does! It's a great app! I had like4like 100 followers and now I'm growing even faster with this app recomend to people who need followers fast.,212,4.244999616525023
241,Singapore,Real good just that data needed to run is damn high,51,3.7447221090563105
242,Singapore,I haven't been able to open my app since the last update.. help!,64,3.939256696105124
243,Hong Kong,,3,0.9182958340544896
244,Australia,Used to love using and posting on Instagram \nI liked being able to scroll through in time order \nMost recently posted at the top and continue scrolling\nI hate the new update and don't want to see people posts from 4 days ago first...\n\nAt least give the option of choosing how the feed can be \nI'm sure some people like the layout but I do not and wish I could have post time order back.,392,4.231734788668611
245,South Africa,Great way to connect with people everywhere,43,3.7105801614272753
246,Hong Kong,I cant search by name in follower and following column. And please set back the latest follower name at follower column. Thanks,127,4.150466182882379
247,Hong Kong,Loved it. Yet it shd stop having similar functions as snapchat lol,66,4.048901872437926
248,United Kingdom,Always telling me to refresh even tho my wifi good,50,3.9577809392987606
249,United Kingdom,"I have logged for over 820 days.  This site has helped me to lose weight, maintain the loss and be disciplined in keeping fit.  Before I always struggled to keep going. Now it's a way of life and I feel great!\nNow I am up to 1590 days. Still logging daily and keeping in shape.  It's so easy!",293,4.363432611575281
250,Singapore,Please update map as Keep give Long travel distance,51,3.9121422535240975
251,India,"So I am a food blogger with over 10,000 followers. According to the 'impressions' feature that Instagram has, my picture is just being shown to a 1000 followers. Despite complaining several times I am yet to receive a response. Seems like they don't think customer service is important.",286,4.384619986767888
252,South Africa,Iv'e tried to update for serveral months but need to change my Apple id everytime because when I want to update my id is disabled. I am turning into a Update monster. Nothing on your Webside will fix the problem. Will Whatsapp stop working! No stars!,250,4.3466904136232944
